UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode,Park,NumberPark
71,March 14 2015,1,Mix,5,M,TRUE,Brooklyn,11229,TRUE,0
72,March 16 2015,1,Maltese,7,M,TRUE,Brooklyn,11221,TRUE,0
73,March 18 2015,1,Pit Bull,5,M,TRUE,Brooklyn,11207,TRUE,0
74,March 16 2015,1,Yorkshire Terrier,1,M,FALSE,Brooklyn,11221,TRUE,0
75,March 14 2015,1,Cocker Spaniel,,U,FALSE,Brooklyn,11213,TRUE,4
76,March 16 2015,1,American Pit Bull Mix / Pit Bull Mix,2,M,TRUE,Brooklyn,11234,TRUE,0
77,March 16 2015,1,Pit Bull,,F,TRUE,Brooklyn,11223,TRUE,2
78,March 17 2015,1,"Collie, Border",,U,FALSE,Brooklyn,11201,TRUE,0
79,March 09 2015,1,Miniature Pinscher,,M,FALSE,Brooklyn,11235,TRUE,0
80,March 22 2015,1,Shih Tzu,2,M,FALSE,Brooklyn,11223,TRUE,0
81,March 21 2015,1,Doberman Pinscher,8,F,FALSE,Brooklyn,11204,TRUE,0
82,March 22 2015,1,Shih Tzu,7,M,TRUE,Brooklyn,11208,TRUE,0
83,March 22 2015,1,German Shepherd,,U,FALSE,Brooklyn,11217,TRUE,0
84,March 21 2015,1,"Bull Dog, French",6,M,TRUE,Brooklyn,11217,TRUE,0
85,February 02 2015,1,Pekingese,4,M,FALSE,Brooklyn,11238,TRUE,7
86,March 15 2015,1,Chihuahua,6,M,FALSE,Brooklyn,11221,TRUE,0
87,March 25 2015,1,TERRIER,5,M,FALSE,Brooklyn,11027,FALSE,0
88,March 29 2015,1,Pit Bull,1,M,FALSE,Brooklyn,11224,TRUE,0
89,March 20 2015,1,HARRIER/BEAGLE,10 M,M,TRUE,Brooklyn,11235,TRUE,0
90,March 27 2015,1,TERRIER,,U,FALSE,Brooklyn,11215,TRUE,0
91,March 28 2015,1,"Dachshund, Long Haired Miniature",4,M,TRUE,Brooklyn,11234,TRUE,0
92,March 29 2015,1,American Pit Bull Terrier/Pit Bull,,U,FALSE,Brooklyn,11217,TRUE,0
93,March 24 2015,1,BOXER X W/ PIT BULL,8,M,TRUE,Brooklyn,11231,TRUE,0
94,March 31 2015,1,Cocker Spaniel,3,F,FALSE,Brooklyn,11201,TRUE,0
95,April 03 2015,11,Yorkshire Terrier,6,M,TRUE,Brooklyn,11233,TRUE,0
96,April 02 2015,1,Chihuahua,,U,FALSE,Brooklyn,11201,TRUE,0
97,April 06 2015,1,Bull dog,8M,M,FALSE,Brooklyn,11213,TRUE,4
98,April 06 2015,1,American Staffordshire Terrier,,U,FALSE,Brooklyn,11224,TRUE,0
99,April 06 2015,1,American Pit Bull Terrier/Pit Bull,4,F,TRUE,Brooklyn,11212,TRUE,13
100,March 31 2015,1,PITBULL/LAB RETRIEVER,5,F,TRUE,Brooklyn,11201,TRUE,0
101,March 27 2015,1,BOXER/RHODESIAN RIDGEBACK X,5,F,FALSE,Brooklyn,11214,TRUE,0
